0,43,20,2,48,2,
1,30,15,5,36,3,
2,38,14,0,43,7,
3,36,16,0,43,6,
4,53,13,1,52,3,
5,36,11,0,44,1,
6,38,14,1,39,2,
7,40,19,0,42,9,
8,33,10,1,48,7,
9,34,12,1,49,5,
10,31,9,3,40,9,
11,32,13,2,42,2,
12,38,13,3,41,4,
13,40,12,0,45,3,
14,19,11,3,36,3,
15,35,10,7,39,5,
16,32,8,2,40,1,
17,34,10,3,45,5,
18,30,11,1,41,7,
19,33,14,1,47,3,
20,37,13,4,57,3,
21,54,15,3,46,7,
22,45,10,2,47,3,
23,44,8,2,50,1,
24,22,11,4,48,5,
25,30,12,1,57,10,
26,28,11,2,47,3,
27,37,8,5,39,5,
28,36,10,5,49,5,
29,39,12,3,46,5,
30,42,13,2,52,6,
31,28,14,2,60,8,
32,38,8,4,49,11,
33,31,11,1,54,3,
34,33,10,1,51,6,
35,36,11,2,50,11,
36,25,19,2,53,5,
37,35,12,3,38,6,
38,36,13,3,49,3,
39,30,11,3,51,5,
40,32,13,2,59,6,
41,43,6,0,34,3,
42,29,11,1,38,6,
43,31,15,3,45,5,
44,43,14,3,49,6,
45,31,18,3,46,10,
46,36,13,3,56,10,
47,34,12,3,39,7,
48,34,13,4,56,6,
49,24,12,0,42,7,
50,33,14,0,43,5,
51,34,15,1,42,2,
52,32,15,1,49,4,
53,37,11,2,40,8,
54,37,9,0,50,5,
55,22,12,4,41,3,
56,30,17,4,41,4,
57,37,11,5,39,7,
58,38,15,0,40,9,
59,30,5,1,55,3,
60,35,10,2,51,11,
61,37,14,3,41,9,
62,40,16,3,39,11,
63,39,13,3,35,4,
64,38,11,4,52,1,
65,34,12,2,51,6,
66,37,9,6,41,2,
67,34,17,2,47,4,
68,29,16,1,45,11,
69,38,15,1,46,5,
70,33,12,3,45,7,
71,29,15,2,53,7,
72,24,10,2,42,6,
73,34,8,2,46,4,
74,33,9,1,53,4,
75,33,12,1,42,3,
76,35,13,4,39,6,
77,35,4,1,38,3,
78,37,14,0,50,6,
79,38,9,1,46,10,
80,29,10,2,35,5,
81,33,7,0,45,10,
82,34,13,2,42,3,
83,39,11,2,48,3,
84,38,14,2,41,5,
85,28,10,1,54,3,
86,28,6,0,41,4,
87,28,13,1,39,4,
88,40,16,3,48,3,
89,39,11,1,46,3,
90,31,14,2,48,7,
91,28,13,1,54,4,
92,22,14,2,34,9,
93,45,8,2,40,5,
94,32,17,1,49,10,
95,30,9,1,59,3,
96,34,7,1,37,11,
97,26,7,1,47,7,
98,24,11,1,48,5,
99,28,11,0,32,8,
100,36,8,1,40,7,
101,32,5,1,44,4,
102,27,12,1,56,7,
103,35,5,1,45,6,
104,28,12,0,43,11,
105,43,9,1,44,11,
106,31,11,2,40,7,
107,39,12,1,41,8,
108,31,8,0,50,6,
109,29,10,2,52,10,
110,29,14,1,44,6,
111,33,10,1,58,6,
112,29,12,1,43,4,
113,30,9,2,51,5,
114,31,9,2,37,4,
115,30,14,4,45,3,
116,28,15,2,59,3,
117,33,10,2,39,5,
118,28,19,3,41,5,
119,37,10,1,58,9,
120,31,8,1,44,1,
121,27,18,2,43,2,
122,32,11,1,47,8,
123,31,9,0,52,5,
124,40,12,1,53,5,
125,38,6,2,58,5,
126,25,14,0,46,10,
127,22,9,5,55,6,
128,27,13,5,49,5,
129,34,11,3,55,5,
130,30,10,0,38,5,
131,29,11,1,46,3,
132,34,10,1,50,7,
133,37,17,1,31,7,
134,48,12,2,50,4,
135,27,10,0,50,5,
136,32,11,1,45,9,
137,31,15,2,34,7,
138,25,9,1,45,8,
139,39,16,0,47,7,
140,26,8,2,50,2,
141,41,9,1,54,2,
142,19,15,2,45,10,
143,25,10,1,49,4,
144,37,12,1,42,4,
145,37,11,1,40,3,
146,42,11,3,46,7,
147,29,13,1,48,6,
148,32,7,0,56,7,
149,27,11,3,43,4,
150,39,9,2,50,3,
151,39,9,0,39,6,
152,39,6,1,44,7,
153,20,8,1,36,4,
154,34,16,2,44,12,
155,24,7,1,58,5,
156,37,6,0,55,5,
157,32,12,1,52,7,
158,35,12,0,54,2,
159,40,8,0,42,4,
160,35,18,2,46,8,
161,33,6,1,46,7,
162,41,17,2,56,6,
163,45,17,2,43,5,
164,30,17,0,42,8,
165,32,17,2,46,9,
166,25,19,1,43,2,
167,41,7,2,34,5,
168,39,9,1,52,7,
169,35,9,0,37,7,
170,35,10,1,44,7,
171,36,4,4,54,5,
172,36,13,3,53,8,
173,28,17,5,37,2,
174,32,16,1,37,9,
175,23,17,2,34,6,
176,33,11,1,39,8,
177,24,11,0,51,5,
178,29,7,1,45,6,
179,32,15,3,58,3,
180,36,17,1,49,3,
181,36,6,2,48,9,
182,37,14,1,43,5,
183,35,11,0,56,4,
184,29,12,0,52,5,
185,36,8,1,57,7,
186,23,12,1,44,2,
187,34,15,0,47,9,
188,36,13,1,45,5,
189,30,12,1,43,5,
190,26,11,3,47,10,
191,34,5,0,41,6,
192,37,10,5,47,8,
193,32,11,1,42,3,
194,32,10,4,49,6,
195,37,6,1,48,6,
196,40,7,0,45,11,
197,24,8,0,35,6,
198,42,13,1,39,9,
199,32,12,2,52,7,
