0,7,2,0,11,0,
1,8,1,1,12,1,
2,6,2,1,14,2,
3,11,0,1,8,2,
4,4,1,0,14,4,
5,5,5,0,10,3,
6,3,1,2,7,0,
7,6,4,0,16,2,
8,9,3,1,14,0,
9,7,3,2,15,3,
10,7,3,0,7,0,
11,4,2,0,4,1,
12,6,2,1,13,0,
13,6,3,1,5,1,
14,4,5,0,10,3,
15,9,5,1,5,2,
16,5,3,0,13,1,
17,13,0,0,8,3,
18,8,0,1,9,0,
19,7,1,0,7,0,
20,3,4,0,11,1,
21,4,1,0,14,0,
22,9,2,0,9,2,
23,12,2,0,6,2,
24,5,3,0,10,2,
25,7,1,1,7,1,
26,10,2,1,14,2,
27,9,1,0,9,3,
28,7,3,1,13,0,
29,8,2,0,4,1,
30,3,1,0,5,2,
31,12,2,1,5,1,
32,3,4,0,6,2,
33,6,3,0,5,2,
34,7,6,0,6,1,
35,7,1,0,12,0,
36,3,3,0,13,1,
37,4,5,0,4,1,
38,6,2,0,7,1,
39,7,3,1,16,1,
40,2,2,1,12,0,
41,5,4,0,8,0,
42,9,0,0,7,2,
43,10,0,0,13,0,
44,14,3,1,6,1,
45,4,1,1,9,0,
46,6,2,0,5,2,
47,6,4,0,11,2,
48,7,2,0,7,2,
49,2,2,0,3,4,
50,7,2,0,4,2,
51,12,4,0,9,0,
52,7,0,0,14,2,
53,4,4,3,6,1,
54,7,1,1,2,4,
55,6,2,0,7,0,
56,4,4,1,7,3,
57,5,1,0,9,0,
58,12,2,1,16,1,
59,7,2,0,10,4,
60,11,6,1,11,2,
61,5,1,0,11,2,
62,4,3,2,9,3,
63,5,1,3,15,1,
64,4,2,0,9,1,
65,8,3,1,6,1,
66,8,3,1,3,2,
67,8,3,0,11,1,
68,5,1,0,15,1,
69,8,3,1,8,0,
70,10,1,1,4,2,
71,10,4,1,10,1,
72,1,1,0,9,0,
73,6,2,0,9,2,
74,5,4,2,11,0,
75,5,2,1,9,2,
76,5,2,0,11,0,
77,10,4,0,7,2,
78,5,0,0,6,1,
79,3,2,0,12,3,
80,4,2,0,9,3,
81,8,2,0,14,0,
82,6,1,0,8,0,
83,7,3,0,5,3,
84,8,2,0,7,2,
85,5,4,0,6,0,
86,10,0,1,9,0,
87,4,2,0,9,1,
88,6,0,0,7,0,
89,4,3,0,8,1,
90,6,2,0,10,1,
91,9,1,0,9,0,
92,5,2,0,14,1,
93,6,4,1,6,1,
94,4,2,0,5,0,
95,5,1,0,6,1,
96,6,1,0,11,0,
97,4,4,2,9,2,
98,3,4,0,7,0,
99,6,3,0,5,1,
100,7,4,3,3,2,
101,7,1,0,9,3,
102,7,7,0,12,4,
103,3,3,0,8,1,
104,10,2,1,6,0,
105,9,0,0,8,3,
106,4,1,0,9,3,
107,6,2,1,12,3,
108,6,0,2,6,2,
109,8,4,1,11,1,
110,5,3,0,18,2,
111,6,0,0,8,0,
112,4,1,0,13,1,
113,6,3,1,9,3,
114,4,1,0,15,0,
115,9,2,0,4,2,
116,8,1,0,7,0,
117,2,4,0,6,1,
118,1,5,1,11,1,
119,11,0,0,11,2,
120,2,0,0,8,1,
121,9,3,0,5,1,
122,8,1,0,8,3,
123,9,1,0,13,0,
124,12,1,0,10,1,
125,8,1,0,12,2,
126,12,3,2,7,1,
127,4,0,0,4,0,
128,6,2,0,6,1,
