0,7
1,6
2,2
3,5
4,7
5,1
6,3
7,6
8,6
9,5
10,3
11,7
12,4
13,2
14,8
15,5
16,5
17,6
18,1
19,1
20,38
21,6
22,4
23,1
24,3
25,6
26,8
27,0
28,8
29,4
30,4
31,4
32,4
33,1
34,4
35,3
36,10
37,4
38,3
39,3
40,4
41,6
42,4
43,1
44,6
45,5
46,3
47,3
48,1
49,6
50,2
51,5
52,5
53,2
54,6
55,7
56,8
57,4
58,5
59,3
60,11
61,3
62,4
63,3
64,2
65,3
66,0
67,7
68,7
69,7
70,2
71,9
72,8
73,2
74,3
75,5
76,1
77,2
78,3
79,4
80,3
81,5
82,7
83,5
84,4
85,8
86,3
87,4
88,2
89,9
90,5
91,5
92,4
93,3
94,5
95,7
96,4
97,3
98,8
99,2
100,6
101,4
102,9
103,3
104,5
105,6
106,1
107,3
108,2
109,4
110,2
111,7
112,3
113,7
114,2
115,7
116,4
117,4
118,4
119,1
120,6
121,1
122,3
123,1
124,4
125,3
126,6
127,2
128,1
129,4
130,4
131,4
132,3
133,5
134,2
135,7
136,4
137,3
138,5
139,3
140,4
141,3
142,2
143,2
144,5
145,1
146,4
147,5
148,4
149,0
150,3
151,5
152,3
153,0
154,2
155,4
156,6
157,3
158,0
159,4
160,4
161,6
162,5
163,2
164,2
165,1
166,2
167,5
168,6
169,3
170,3
171,6
172,0
173,2
174,5
175,5
176,3
177,3
178,6
179,8
180,12
181,2
182,4
183,3
184,2
185,6
186,2
187,6
188,3
189,13
190,5
191,3
192,3
193,3
194,8
195,3
196,5
197,2
198,7
199,3
200,3
201,6
202,5
203,4
204,4
205,6
206,2
207,6
208,3
209,3
210,6
211,2
212,3
213,6
214,3
215,4
216,4
217,1
218,5
219,1
220,2
221,2
222,2
223,2
224,6
225,5
226,3
227,1
228,1
229,0
230,3
231,1
232,3
233,1
234,5
235,3
236,2
237,5
238,3
239,4
240,6
241,2
242,4
243,2
244,2
245,2
246,0
247,6
248,2
249,2
250,2
251,2
252,4
253,0
254,4
255,1
256,4
257,1
258,6
259,1
260,2
261,1
262,3
263,5
264,4
265,1
266,2
267,6
268,5
269,2
270,2
271,3
272,1
273,3
274,2
275,2
276,5
277,6
278,0
279,4
280,3
281,4
282,0
283,9
284,3
285,2
286,1
287,4
288,1
289,6
290,3
291,4
292,3
293,6
294,4
295,1
296,2
297,3
298,2
299,4
300,2
301,2
302,3
303,3
304,1
305,4
306,1
307,3
308,5
309,2
310,5
311,0
312,1
313,2
314,5
315,2
316,6
317,0
318,2
319,1
320,1
321,1
322,4
323,4
324,4
325,4
326,0
327,7
328,6
329,9
330,2
331,3
332,4
333,3
334,4
335,2
336,3
337,1
338,4
339,5
340,3
341,1
342,5
343,4
344,4
345,7
346,2
347,2
348,3
349,1
350,3
351,2
352,3
353,5
354,1
355,0
356,7
357,3
358,1
359,1
360,0
361,4
362,2
363,6
364,2
365,1
366,1
367,2
368,0
369,2
370,4
371,3
372,6
373,1
374,3
375,1
376,1
377,5
378,2
379,3
380,1
381,2
382,3
383,4
384,0
385,5
386,1
387,2
388,4
389,2
390,3
391,3
392,0
393,4
394,1
395,8
396,3
397,4
398,3
399,2
400,3
401,5
402,1
403,5
404,3
405,2
406,2
407,1
408,0
409,4
410,2
411,2
412,1
413,2
414,3
415,1
416,1
417,4
418,3
419,2
420,2
421,1
422,3
423,3
424,1
425,5
426,0
427,1
428,1
429,6
430,2
431,3
432,1
433,0
434,3
435,2
436,1
437,1
438,4
439,1
440,2
441,2
442,2
443,2
444,2
445,0
446,3
447,2
448,2
449,0
450,0
451,2
452,2
453,3
454,3
455,2
456,0
457,4
458,5
459,1
460,1
461,0
462,1
463,3
464,2
465,5
466,0
467,4
468,1
469,2
470,2
471,2
472,4
473,1
474,2
475,1
476,2
477,1
478,3
479,4
480,2
481,2
482,2
483,3
484,2
485,4
486,0
