beta,FVar(Util)Distruelev1period0,FVar(Util)Distruelev1period1,
0.0,0.00509004822119752,0.01951081323879018,
0.1,0.05372504124107742,0.06903274659479017,
0.2,0.05492763465775013,0.06984680149567747,
0.3,0.05277824853155999,0.06890831300427751,
0.4,0.05277824853155999,0.06949295640544001,
0.5,0.05277824853155999,0.06880804916443718,
0.6,0.05277824853155999,0.07189635714037736,
0.7,0.05277824853155999,0.06974669421847741,
0.8,0.05277824853155999,0.06815924609364013,
0.9,0.05277824853155999,0.06994263799439027,
1.0,0.05254558444337737,0.06960932024193767,
