beta,FVar(Util)period0,FVar(Util)period1,
0.0,0.0038231254683099847,0.014778196237190004,
0.1,0.0546332332187901,0.06684779839803996,
0.2,0.05581647636399999,0.06710512756400018,
0.3,0.05348300020463982,0.06654050373996,
0.4,0.05348300020463982,0.06573734055104011,
0.5,0.05348300020463982,0.06558529808716002,
0.6,0.05348300020463982,0.0690650339747901,
0.7,0.05348300020463982,0.067217875884,
0.8,0.05348300020463982,0.06500841191374993,
0.9,0.05348300020463982,0.06649703676918997,
1.0,0.05387197380079003,0.06788826649775997,
