beta,FVar(Util)Distruelev1period0,FVar(Util)Distruelev1period1,
0.0,0.005102892652960014,0.024050950192310048,
0.1,0.05203826794896008,0.07116814377904002,
0.2,0.0532738013389997,0.07254059546510996,
0.3,0.051342393945760026,0.07123097731638983,
0.4,0.051342393945760026,0.07321531209183962,
0.5,0.051342393945760026,0.07199104290551028,
0.6,0.051342393945760026,0.07468547155275986,
0.7,0.051342393945760026,0.07223730389350982,
0.8,0.051342393945760026,0.0712691634063101,
0.9,0.051342393945760026,0.07334605159590983,
1.0,0.05046097487483983,0.07128557992711017,
