Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.1001655470679407,0.005749972567971471,0.09995646427863938,0.09585555678017706,0.1095054101460976,0.1014590012500407,0.10747905419110948,0.10222035108679035,0.10138208246859656,0.09949641224239862,0.09633261398335997,0.0879685242521971
1,0.09997054969958255,0.005682179791598182,0.09995646427863938,0.09585555678017706,0.10970348215916037,0.10192965057699878,0.10559514223167796,0.10224740962639012,0.10166429390237777,0.09966624129830932,0.09511873188989747,0.0879685242521971
2,0.09966097521553574,0.005593206559776105,0.09995646427863938,0.0962492905628777,0.10964480753076086,0.10192965057699878,0.10559514223167796,0.10152714678539897,0.09932011650259792,0.09929987754431126,0.09511873188989747,0.0879685242521971
3,0.09973373778710579,0.005370077731998122,0.09995646427863938,0.09628909578177704,0.10796541442716016,0.1024184220643102,0.10569024602638884,0.10202740330209725,0.09926602416974994,0.10063705167884039,0.09511873188989747,0.0879685242521971
4,0.0995333365957375,0.00515084021318797,0.09995646427863938,0.09799767458699686,0.10796541442716016,0.10203458863787786,0.10450742016404019,0.1018112250636774,0.09919948315527635,0.0988458178575109,0.09511873188989747,0.08789654589629849
5,0.0994709550574483,0.005580707231228051,0.09995646427863938,0.09548572828679028,0.10957878400436039,0.10145735399193728,0.10450742016404019,0.10254155541639111,0.09924612017974953,0.09906706783777829,0.09497251051849795,0.08789654589629849
6,0.09959743568401193,0.005429185306273327,0.09995646427863938,0.09500290894243749,0.10957878400436039,0.10145735399193728,0.10450742016404019,0.1018396749713777,0.0991254849123907,0.09906706783777829,0.09752514005896079,0.08791405767819704
7,0.09963479704185563,0.00549947217572098,0.09995646427863938,0.09497409568207642,0.10957878400436039,0.10199453646375088,0.1045158264461765,0.10237684613607768,0.09935783782217782,0.09851985662751034,0.09715966527958997,0.08791405767819704
8,0.09985443762877318,0.005253722690487569,0.09995646427863938,0.09819900054000051,0.10957878400436039,0.10080054458100016,0.10440931841316094,0.10232269533587665,0.09912249226870914,0.09908135390819749,0.09715966527958997,0.08791405767819704
9,0.09959205986865158,0.005616174218586111,0.09995646427863938,0.09483870398269666,0.10977686625789822,0.10084069856377796,0.1055915387300008,0.1023099978377492,0.09911956280017846,0.09845586850493851,0.09711684005243958,0.08791405767819704
10,0.099961495868088,0.005544549348760528,0.09995646427863938,0.09483870398269666,0.10994661426855931,0.10080054458100016,0.10506825764247653,0.10231669891215936,0.09909064930349724,0.09857327326737664,0.10110969476627772,0.08791405767819704
11,0.1002964160469513,0.005108754615642759,0.09995646427863938,0.09811474322657676,0.10846120804937877,0.10212452010037884,0.10506825764247653,0.10282880639989861,0.09906353346709754,0.09908201853943685,0.10037497615719009,0.08788963260843984
12,0.10019893180992918,0.005129121160136309,0.09995646427863938,0.09811474322657676,0.10846120804937877,0.10116159134947841,0.10492108231699737,0.10356920898737695,0.09845839258577734,0.09908201853943685,0.10037497615719009,0.08788963260843984
13,0.10036180763254984,0.004731691114283667,0.09995646427863938,0.09811474322657676,0.10879531702710912,0.10040258815775056,0.10476151003464021,0.10380013308470895,0.0983595833541985,0.09919662418577661,0.10040504336116034,0.08982606961493832
14,0.10069283122891162,0.005198286339676999,0.09995646427863938,0.09811474322657676,0.10879531702710912,0.1009397945319376,0.10858037863751024,0.10335613455974942,0.0983595833541985,0.09859478369729659,0.10040504336116034,0.08982606961493832
15,0.1007010224141311,0.005194051871573299,0.09995646427863938,0.09811601243009735,0.10879531702710912,0.1009397945319376,0.10858037863751024,0.10334482199727658,0.09869374154600123,0.09835258071664105,0.10040504336116034,0.08982606961493832
16,0.09993071302183074,0.005849768395023118,0.09995646427863938,0.09414806424039752,0.10948676642244055,0.10040258815775056,0.10858037863751024,0.10333234084909686,0.09833246116739687,0.09483695348897665,0.10040504336116034,0.08982606961493832
17,0.09929300672542371,0.005383000760555289,0.09995646427863938,0.09414806424039752,0.10681855908193695,0.1009397945319376,0.10858037863751024,0.09942933200693678,0.09820810643693823,0.09494515132558928,0.10040504336116034,0.08949917335319088
18,0.09956905155827576,0.005152020785193206,0.09995646427863938,0.09414806424039752,0.1061557784327894,0.1013417535827986,0.10858037863751024,0.0998154672029765,0.0983370279406967,0.09745136455259817,0.10040504336116034,0.08949917335319088
19,0.09960184398608138,0.005145343245895709,0.1000810005237507,0.09414806424039752,0.106260028311191,0.1011236001744381,0.10858037863751024,0.09970699350377703,0.09856938481555991,0.09763830930503885,0.10040504336116034,0.08950563698799027
